artist_name,album_name,song_name,song_popularity,song_duration_ms,song_danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_genre
Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,0.476,0.666,6,-3.438,1,0.0446,0.314,0,0.342,0.498,148.155,4,acoustic
Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4,acoustic
Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46,213098,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4,acoustic
Motohiro Hata,Documentary,透明だった世界,61,232360,0.373,0.914,0,-4.185,1,0.0565,0.076,0,0.669,0.56,168.21,4,acoustic
Andrew Belle,Black Bear,Pieces,60,241119,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4,acoustic
Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,220239,0.447,0.393,5,-8.65,1,0.038,0.785,0,0.28,0.564,73.139,3,acoustic
Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52,171543,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44E-05,0.129,0.407,149.02,4,acoustic
Andrew Belle,Black Bear,The Enemy,62,286865,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,4,acoustic
Aron Wright,Build It Better,Build It Better,51,234473,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,4,acoustic
Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,0,216000,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,80.075,4,acoustic
Sara Bareilles,Little Voice,Gravity,67,232760,0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,4,acoustic
Chord Overstreet,What's Left of You,What's Left of You,57,178600,0.731,0.507,0,-6.477,1,0.046,0.572,0,0.0912,0.265,117.969,4,acoustic
Zack Tabudlo,Pano,Pano,75,254400,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,acoustic
Andrew Belle,The Daylight EP,Sky's Still Blue,62,244320,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4,acoustic
Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66,124933,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4,acoustic
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,0.705,0.347,2,-8.249,1,0.0301,0.674,0,0.12,0.36,80.057,4,acoustic
Tim Halperin,Covers,Always Be My Baby,62,181852,0.582,0.255,4,-10.254,1,0.0306,0.772,0,0.0889,0.285,139.884,4,acoustic
Canyon City,Midnight Waves,Alone with You,58,186584,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63E-06,0.103,0.207,86.664,4,acoustic
Aaron Espe,Making All Things New,Making All Things New,65,159600,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,acoustic
Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67,250266,0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,4,acoustic
Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65,318908,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46E-06,0.0899,0.196,128.012,4,acoustic
Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4,acoustic
Ron Pope,Whatever It Takes,A Drop In the Ocean,55,219480,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14E-06,0.15,0.346,139.966,3,acoustic
Five For Fighting,America Town,Superman (It's Not Easy),70,221693,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,4,acoustic
Andrew Belle,Dive Deep,When the End Comes,57,354400,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4,acoustic
Bailey Jehl,You're Still The One,You're Still The One,56,177500,0.607,0.473,2,-8.555,1,0.034,0.712,0,0.66,0.54,119.698,4,acoustic
Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,56,247840,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4,acoustic
Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67,216386,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4,acoustic
A Great Big World,When the Morning Comes,Kaleidoscope,62,229320,0.709,0.913,7,-5.148,1,0.0748,0.0182,0,0.167,0.519,108.024,4,acoustic
Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,45,330933,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,4,acoustic
Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,64,172213,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,4,acoustic
Jason Mraz,Know.,Have It All,65,226106,0.643,0.638,1,-4.947,0,0.0407,0.204,0,0.0707,0.6,82.001,4,acoustic
Gabrielle Aplin,Mellow Adult Pop,Heavy Heart,0,235173,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,150.055,4,acoustic
Gabrielle Aplin,Break Up Songs,The House We Never Built,0,195213,0.546,0.391,2,-10.786,0,0.063,0.784,2.72E-06,0.0552,0.202,139.669,4,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68,236306,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4,acoustic
Gabrielle Aplin,u don't deserve me,Please Don't Say You Love Me,0,181400,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4,acoustic
Gabrielle Aplin,Coffee Moment,Please Don't Say You Love Me,0,181400,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61,164500,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,acoustic
Sara Bareilles,The Blessed Unrest,Brave,70,220573,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.10E-05,0.0425,0.758,185.063,4,acoustic
KT Tunstall,Slow Christmas Songs 2022,Lonely This Christmas,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
KT Tunstall,Lonely Christmas 2022,Lonely This Christmas,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4,acoustic
Five For Fighting,Bookmarks,Heaven Knows,62,210612,0.6,0.845,10,-7.076,1,0.0311,0.048,0,0.24,0.392,97.631,4,acoustic
The Civil Wars,Slow Christmas Songs 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
The Civil Wars,Alternative Christmas 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
KT Tunstall,Alternative Christmas 2022,Fairytale Of New York,0,263866,0.447,0.555,2,-6.018,1,0.0349,0.218,3.46E-06,0.124,0.33,117.888,3,acoustic
The Civil Wars,Acoustic Christmas Campfire,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
The Civil Wars,Lonely Christmas 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
The Civil Wars,Chill Christmas Dinner,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
The Civil Wars,sadsadchristmas,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
The Civil Wars,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4,acoustic
KT Tunstall,Del gusto de mamá,Hold On,0,177613,0.661,0.937,4,-5.157,0,0.0979,0.322,1.04E-06,0.19,0.805,105.549,4,acoustic
KT Tunstall,OO's Music Grandi Successi,Suddenly I See,0,199040,0.603,0.78,0,-5.531,1,0.0438,0.139,0,0.164,0.693,100.499,4,acoustic
Motohiro Hata,言ノ葉,Rain,58,293040,0.626,0.655,9,-6.69,1,0.0263,0.503,0,0.13,0.542,92.003,4,acoustic
Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,50,138495,0.794,0.38,10,-8.769,0,0.0477,0.762,0,0.262,0.617,114.99,4,acoustic
Andrew Belle,Black Bear (Hushed),Pieces (Hushed),59,198626,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,acoustic
Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,57,292566,0.545,0.658,1,-7.174,1,0.0474,0.496,0,0.105,0.683,76.971,4,acoustic
Boyce Avenue,Stand by Me,Stand by Me,60,199019,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03E-05,0.114,0.307,115.189,4,acoustic
Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,61,181760,0.66,0.407,7,-8.381,1,0.0571,0.236,0,0.109,0.257,133.86,4,acoustic
John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,55,204973,0.479,0.154,2,-11.282,1,0.0352,0.915,0,0.0974,0.36,147.207,4,acoustic
Kitri,Hikare Inochi,Hikare Inochi,51,322146,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66E-06,0.137,0.385,102.033,4,acoustic
Tyler Ward,Songs From Nashville,How To Lose a Girl,46,210375,0.7,0.454,7,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,80.011,3,acoustic
Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,57,131000,0.402,0.197,5,-10.775,1,0.0295,0.858,1.05E-06,0.114,0.148,100.044,3,acoustic
Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),58,218531,0.507,0.378,9,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,135.86,4,acoustic
Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),51,195945,0.619,0.226,4,-13.453,1,0.0641,0.959,4.42E-05,0.106,0.188,124.96,3,acoustic
Augustana,All The Stars and Boulevards,Boston,63,245933,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08E-05,0.129,0.29,147.01,4,acoustic
Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,53,212386,0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96E-06,0.117,0.197,175.975,4,acoustic
Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,225165,0.633,0.299,11,-7.798,1,0.0353,0.833,0,0.109,0.341,147.549,4,acoustic
Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),47,112008,0.565,0.0392,1,-28.276,1,0.045,0.835,0.183,0.117,0.601,125.399,4,acoustic
Kina Grannis,You Are My Sunshine,You Are My Sunshine,60,123609,0.664,0.0755,10,-19.836,1,0.0389,0.91,0,0.164,0.575,80.004,1,acoustic
Jason Mraz,I Won't Give Up,I Won't Give Up,66,240165,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,3,acoustic
Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,67,265843,0.65,0.271,9,-11.081,1,0.0314,0.794,6.90E-05,0.196,0.21,78.036,4,acoustic
Meg Birch,Life Sucks Playlist,Only Love Can Hurt Like This,43,194194,0.534,0.213,1,-8.64,1,0.0283,0.884,0,0.107,0.0998,98.385,4,acoustic
Catherine Feeny,Hurricane Glass,Mr Blue,54,154600,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,4,acoustic
Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,60,158960,0.409,0.234,3,-13.711,1,0.0323,0.338,5.00E-05,0.0895,0.145,139.832,4,acoustic
Ross Copperman,Holding On And Letting Go - Single,Holding On And Letting Go,49,319000,0.502,0.53,2,-9.573,1,0.0266,0.805,0.000738,0.0728,0.102,78.046,4,acoustic
JJ Heller,You Already Know,You Already Know,57,214360,0.496,0.117,0,-12.884,1,0.0301,0.933,0,0.126,0.318,78.068,4,acoustic
Ben Woodward,Believer (Remix),Believer (Remix),42,204480,0.585,0.724,1,-6.513,0,0.0745,0.315,0.0681,0.0448,0.333,187.484,3,acoustic
Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,67,277000,0.582,0.253,10,-11.43,1,0.0259,0.827,2.95E-05,0.091,0.294,90.186,4,acoustic
Ben Rector,Magic,Love Like This,61,214240,0.637,0.14,2,-11.472,1,0.0407,0.903,0,0.107,0.392,139.78,4,acoustic
Matt Nathanson,Some Mad Hope,Come On Get Higher,71,215173,0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,4,acoustic
Parachute,The Way It Was,Kiss Me Slowly,61,235813,0.47,0.801,9,-6.426,1,0.0352,0.0758,3.53E-05,0.218,0.431,173.92,4,acoustic
Parachute,Wide Awake,Without You,61,228933,0.564,0.864,4,-5.121,1,0.0341,0.0761,0,0.182,0.534,95.984,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Absolutely Zero,20,339196,0.521,0.495,5,-7.756,1,0.027,0.128,0,0.296,0.116,135.061,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Sleep All Day,22,296843,0.616,0.81,2,-6.51,1,0.0668,0.369,0,0.107,0.79,97.994,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),You and I Both,35,218240,0.615,0.812,7,-6.573,1,0.0458,0.184,0,0.328,0.74,98.954,4,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Long Nights,60,151773,0.478,0.305,5,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,108.66,4,acoustic
Gabrielle Aplin,English Rain,Please Don't Say You Love Me,59,181400,0.479,0.541,0,-9.862,1,0.0545,0.737,0,0.108,0.321,85.994,4,acoustic
KT Tunstall,Eye To The Telescope,Suddenly I See,73,201706,0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Who Needs Shelter,22,192260,0.514,0.569,6,-7.866,0,0.03,0.601,2.21E-06,0.218,0.264,142.597,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),No Stopping Us,19,198855,0.646,0.836,1,-6.203,1,0.0327,0.301,3.23E-05,0.29,0.727,105.991,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),I'll Do Anything,24,191889,0.57,0.711,9,-4.155,1,0.0703,0.119,0,0.352,0.648,163.117,4,acoustic
JJ Heller,I Dream of You: CALM,Make You Feel My Love,57,171293,0.678,0.199,9,-9.785,1,0.0307,0.957,3.23E-06,0.0968,0.262,72.006,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Remedy (I Won't Worry),35,256440,0.589,0.867,10,-4.523,1,0.0385,0.041,0,0.306,0.795,94.52,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Too Much Food,20,221425,0.626,0.926,2,-4.441,1,0.0477,0.0265,0,0.159,0.548,99.997,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Boy's Gone,18,255047,0.686,0.556,1,-8.5,0,0.0271,0.532,0,0.0922,0.36,112.997,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"On Love, in Sadness",19,208793,0.56,0.832,9,-5.595,1,0.0352,0.108,0,0.232,0.802,100.957,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Curbside Prophet,23,214552,0.619,0.793,5,-5.964,1,0.0661,0.263,0,0.0828,0.892,177.991,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again - Live",19,264280,0.56,0.278,3,-12.501,1,0.0921,0.733,0,0.112,0.594,102.187,4,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again",18,289041,0.595,0.805,8,-7.926,1,0.0543,0.0167,1.06E-05,0.0691,0.359,102.44,4,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Hard Sun,65,322080,0.438,0.827,8,-6.531,1,0.0328,0.0512,0.000402,0.319,0.645,143.377,4,acoustic
Susie Suh;Robot Koch,Here with Me,Here with Me,55,238971,0.582,0.375,1,-13.277,0,0.0329,0.702,0.0631,0.136,0.106,129.909,4,acoustic
Tyler Ward;Lindsey Stirling;Kina Grannis,"Tyler Ward Covers, Vol. 5",The Scientist,47,276575,0.453,0.295,7,-12.881,1,0.0291,0.518,0.00011,0.293,0.14,146.022,4,acoustic
Howie Day,Stop All The World Now,Collide,56,249120,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35E-05,0.119,0.342,93.931,4,acoustic
Eden Elf;Ren Avel,get better,get better,53,111734,0.639,0.201,7,-16.613,0,0.0526,0.907,2.26E-05,0.124,0.4,88.107,4,acoustic
Kitri,Hikare Inochi,Sympathy,49,210760,0.69,0.423,2,-9.194,0,0.0294,0.883,0.0123,0.111,0.59,130.121,4,acoustic
Boyce Avenue;Rachel Grae,Let It Go,Let It Go,51,255688,0.599,0.349,1,-9.269,1,0.0301,0.819,0,0.112,0.444,147.913,4,acoustic
Chord Overstreet,What You Need,What You Need,53,181786,0.519,0.264,0,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,140.354,4,acoustic
Five For Fighting,The Battle for Everything,100 Years,66,244600,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17E-05,0.178,0.275,120.507,4,acoustic
Andrew Belle,Nightshade,You're the Sea,56,174546,0.573,0.624,1,-9.076,0,0.0324,0.471,0.117,0.114,0.529,161.025,4,acoustic
Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",No Direction,47,234330,0.654,0.821,7,-5.472,1,0.0264,0.00666,0.00299,0.228,0.613,111.958,4,acoustic
Cary Brothers,Under Control,Belong,51,255600,0.426,0.399,0,-8.447,1,0.034,0.761,0.00112,0.118,0.217,115.979,4,acoustic
The Mayries,As It Was,As It Was,55,176542,0.505,0.21,11,-11.349,1,0.0295,0.907,0,0.11,0.323,80.721,4,acoustic
Jason Mraz,I'm Yours,I'm Yours,60,243494,0.693,0.43,11,-9.395,1,0.0442,0.565,0,0.0928,0.731,151.001,4,acoustic
Joseph Sullinger,Chi Mai,Chi Mai,40,188695,0.739,0.287,6,-14.007,0,0.059,0.969,0.961,0.111,0.557,80.64,4,acoustic
A Great Big World;Christina Aguilera,Say Something,Say Something,58,229400,0.453,0.146,2,-8.976,1,0.0343,0.867,3.49E-06,0.0945,0.0915,137.905,3,acoustic
