song_name,song_popularity,song_duration_ms,song_danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The Adults Are Talking,79,309053,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
One Last Breath,72,238240,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4
"10,000 Reasons (Bless The Lord) - Live",66,342493,0.431,0.485,7,-8.085,1,0.0274,0.452,0,0.544,0.367,145.22,4
Stronger,66,190048,0.563,0.678,2,-4.717,0,0.0392,0.0228,0,0.342,0.134,127.883,4
Mind Over Matter (Reprise),75,230866,0.393,0.487,0,-6.348,1,0.0337,0.229,0,0.128,0.3,151.958,4
"Elliot's Song - From ""Euphoria"" An HBO Original Series",70,150320,0.394,0.327,4,-14.291,1,0.114,0.849,0,0.125,0.411,93.358,4
Legendary,66,232173,0.537,0.656,11,-5.863,0,0.0411,0.0458,2.54E-06,0.112,0.45,141.873,4
The Man Who Sold The World,76,261093,0.483,0.753,1,-8.937,0,0.0832,0.425,0.000142,0.257,0.42,115.102,4
Hero,72,186813,0.533,0.967,1,-2.543,1,0.0995,0.00791,0,0.336,0.782,142.018,4
Heart-Shaped Box,79,281160,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4
Can't Stop,82,269000,0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
Cry Baby,74,235160,0.581,0.656,4,-4.891,0,0.0294,0.00269,2.78E-06,0.101,0.338,108.033,4
About You,73,326490,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,4
Legends Are Made,68,169758,0.553,0.89,0,-4.879,1,0.0413,0.123,0,0.139,0.674,87.871,4
Pretty Boy,75,234093,0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,4
Where Is My Mind?,77,229226,0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,4
Fade Into You,79,295600,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,3
This fffire - New Version,76,218080,0.442,0.887,4,-5.943,0,0.1,0.0259,4.57E-06,0.0655,0.637,146.358,4
It's Not Living (If It's Not With You),73,248335,0.618,0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,4
The 1975,71,250900,0.542,0.433,9,-10.47,1,0.0305,0.897,0.173,0.101,0.495,140.939,4
Under the Bridge,82,264306,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
The Mystic,68,189600,0.556,0.72,4,-5.132,0,0.0415,0.358,0,0.146,0.405,125.324,4
Where Is My Mind? - Remastered,79,234973,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4
Bitter Sweet Symphony,80,357266,0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,4
All Star,79,200373,0.731,0.867,11,-5.881,1,0.032,0.0395,0,0.0861,0.776,104.019,4
Unfair,72,146866,0.477,0.572,8,-7.328,1,0.0319,0.00708,0.784,0.144,0.0414,194.033,4
Unsteady,74,193546,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,4
I'm In Love With You,71,262623,0.668,0.902,2,-3.924,1,0.0386,0.169,8.74E-05,0.198,0.913,119.008,4
Happiness,70,303903,0.662,0.905,11,-5.036,1,0.0383,0.0529,0.0521,0.202,0.857,117.997,4
sail away,71,179000,0.743,0.835,2,-4.655,1,0.029,0.25,0,0.0912,0.955,120.019,4
Dumb,75,151893,0.697,0.395,6,-13.58,1,0.0281,0.428,0.653,0.173,0.876,113.589,4
When We Are Together,69,216586,0.618,0.449,2,-10.565,1,0.0435,0.383,0.0182,0.116,0.699,75.046,4
Last Resort,80,199906,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,4
Looking For Somebody (To Love),72,178617,0.522,0.957,2,-4.924,1,0.0687,0.0515,0.0014,0.144,0.917,170.91,4
Part Of The Band,69,260148,0.714,0.51,6,-8.216,1,0.0453,0.76,0.133,0.253,0.832,142.009,4
Killing In The Name,80,313573,0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,4
Everlong,84,250546,0.413,0.881,11,-5.541,0,0.0367,5.99E-05,0.000308,0.0805,0.364,158.066,4
You Say,75,274693,0.494,0.632,5,-6.89,1,0.0342,0.682,0,0.0869,0.0797,147.873,4
Playground (from the series Arcane League of Legends),70,230525,0.514,0.703,8,-6.859,1,0.0298,0.0107,7.62E-05,0.13,0.356,157.399,4
The Resistance,69,232066,0.483,0.941,2,-3.598,0,0.0575,0.000526,3.50E-06,0.31,0.503,156.033,4
Void,68,203666,0.534,0.582,5,-7.912,1,0.0401,0.047,0.0328,0.0883,0.346,84.183,4
Brazil,80,252306,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27E-05,0.0898,0.665,121.079,4
Otherside,80,255373,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
You And Me,76,195493,0.459,0.427,7,-7.734,1,0.0267,0.114,0,0.168,0.354,139.902,3
Scar Tissue,79,215906,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4
How You Remind Me,80,223840,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,4
Karma Police,76,264066,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32E-05,0.172,0.324,74.807,4
Far Away,73,238173,0.518,0.797,6,-5.153,1,0.0309,0.000681,0,0.107,0.293,132.918,4
Dark Necessities,74,302000,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4
Lithium,73,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
Lost In The Wild,67,235960,0.483,0.77,6,-4.829,0,0.0512,0.007,0,0.182,0.386,132.992,4
Middle Finger,67,229986,0.685,0.656,1,-6.013,0,0.0383,0.437,0,0.347,0.392,128.003,4
Glitter & Gold,69,176093,0.487,0.625,8,-5.112,1,0.0401,0.374,0,0.226,0.351,170.397,4
Wintering,70,165457,0.643,0.882,11,-5.431,1,0.0808,0.363,5.53E-05,0.28,0.941,159.996,4
The Kid I Used to Know,66,145801,0.639,0.776,9,-4.61,1,0.0829,0.0731,1.97E-06,0.18,0.267,160.101,4
Way Maker - Live,67,503240,0.432,0.524,4,-8.721,1,0.0321,0.0289,0,0.682,0.183,135.956,4
Walking On A Dream,79,198440,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52E-06,0.0589,0.716,126.975,4
Fallen Star,70,224938,0.603,0.551,10,-6.259,0,0.0304,0.0696,0.0976,0.192,0.439,75.001,4
Compass,70,167960,0.7,0.82,5,-5.499,0,0.0329,0.238,0.318,0.658,0.667,109.998,4
Wires,71,193080,0.568,0.569,7,-6.013,0,0.0329,0.0004,0.102,0.342,0.266,72.991,4
Devil's Advocate,71,186306,0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,4
Kids,78,302840,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
broken,70,204878,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26E-06,0.0429,0.51,122.996,4
Horns,66,217625,0.49,0.753,6,-5.411,1,0.238,0.081,2.85E-06,0.268,0.325,156.241,4
Are You Gonna Be My Girl,76,213800,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,4
Flawless,70,246493,0.568,0.871,0,-3.453,1,0.0308,0.0553,0.51,0.303,0.374,119.99,4
High and Dry,75,257480,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4
"Call It Fate, Call It Karma",72,204773,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
Nobody (feat. Matthew West),67,206400,0.561,0.717,8,-5.72,1,0.0381,0.458,0,0.138,0.455,79.993,4
War of Change,67,231665,0.531,0.887,5,-4.417,0,0.0329,0.00261,0.000512,0.0657,0.626,104.055,4
The Pretender,79,269373,0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,4
R.I.P. 2 My Youth,69,205280,0.353,0.686,7,-5.704,0,0.0534,0.00216,0,0.123,0.177,94.47,4
Cherry Flavoured,68,208453,0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769,4
Tonight You Are Mine,66,230000,0.634,0.6,11,-6.662,1,0.0265,0.00203,0.00569,0.0796,0.64,90.017,4
Happiness,71,303903,0.666,0.909,11,-5.029,1,0.039,0.0438,0.108,0.219,0.846,118.007,4
Nervous,70,245000,0.589,0.614,0,-7.528,0,0.0426,0.0213,0.165,0.31,0.318,119.837,4
Why,71,139906,0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,4
Island In The Sun,78,200306,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,4
Kryptonite,80,233933,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,4
Awake and Alive,69,209493,0.434,0.939,4,-2.983,0,0.0593,0.0425,0,0.491,0.569,159.932,4
Happy Pills,71,203080,0.521,0.885,4,-4.934,0,0.125,0.00327,0.00904,0.324,0.344,115.985,4
Everybody Hurts,75,320266,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,3
Twisted,66,222706,0.577,0.789,2,-4.661,1,0.0427,0.00532,0.0105,0.214,0.149,97.52,3
Fake Plastic Trees,72,290706,0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,4
Good Good Father,66,293398,0.429,0.587,9,-4.588,1,0.0275,0.315,0,0.108,0.164,145.003,3
My Type,70,204811,0.595,0.896,10,-2.951,1,0.047,0.0641,5.82E-05,0.0748,0.567,118.001,4
Scary Love,69,222666,0.595,0.636,5,-5.981,0,0.0312,9.45E-05,0.0529,0.196,0.147,112.008,4
Mind Over Matter,71,244693,0.466,0.763,0,-4.448,1,0.0318,0.000501,0,0.0973,0.293,154.914,4
Selfless,71,222093,0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4
Cult of Personality,68,294826,0.504,0.918,0,-3.463,1,0.0517,0.00164,2.12E-05,0.78,0.539,92.031,4
Burn It to the Ground,73,212346,0.617,0.922,11,-3.474,1,0.0744,0.000247,0.388,0.363,0.6,132.059,4
Black Hole Sun,77,318586,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4
About A Girl,74,166640,0.409,0.932,11,-4.538,0,0.0339,1.87E-05,1.60E-06,0.31,0.591,131.761,4
"You're Gonna Go Far, Kid",81,177826,0.55,0.917,0,-3.159,1,0.0638,0.00428,0,0.197,0.601,126.115,4
Baby Came Home 2 / Valentines,71,390493,0.21,0.499,2,-9.754,0,0.0485,0.0687,0.00315,0.773,0.108,74.094,4
Electric Feel,77,229640,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3
Love It If We Made It,69,252925,0.472,0.745,4,-5.297,1,0.0356,0.000607,2.74E-05,0.0957,0.0631,180.06,4
Butterfly,73,216733,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4
Passion,67,132746,0.777,0.721,0,-6.951,1,0.071,0.476,0.0512,0.27,0.88,106.956,4
Lips Of An Angel,73,261853,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08E-06,0.203,0.251,129.084,4
Exit Music (For A Film),73,267186,0.293,0.276,4,-11.357,0,0.0349,0.224,0.122,0.167,0.195,121.603,4
The Middle,81,165853,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
Weird Fishes/ Arpeggi,71,318186,0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,4
Cough Syrup,71,249520,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24E-06,0.115,0.225,128.978,3
Dani California,78,282160,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59E-06,0.346,0.73,96.184,4
Be Yourself,72,278973,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07E-06,0.213,0.317,116.602,4
Song 2 - 2012 Remaster,78,121160,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4
Metalingus,67,259959,0.496,0.981,8,-3.268,1,0.108,9.33E-06,0,0.0958,0.163,109.905,4
Rockstar,70,252040,0.616,0.91,0,-3.004,1,0.0386,0.0459,0,0.343,0.693,144.072,4
Chocolate,67,224673,0.614,0.938,11,-4.461,1,0.0611,0.000532,0,0.368,0.607,100.058,4
Trust in You,66,211600,0.413,0.636,9,-5.651,1,0.0407,0.0186,0,0.106,0.203,176.048,4
Take Me Out,79,237026,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
Black,74,342653,0.36,0.684,4,-6.457,0,0.0308,0.323,0,0.34,0.2,77.15,4
Alive,76,340907,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,4
Symphony Of Destruction,74,246733,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,4
W.D.Y.W.F.M?,68,259413,0.557,0.845,8,-2.926,0,0.0346,0.0303,0.00851,0.354,0.508,123.997,4
Last Kiss,71,195466,0.622,0.692,7,-6.97,1,0.0276,0.363,0.000158,0.193,0.774,112.053,4
Nude,69,255386,0.516,0.342,4,-9.785,1,0.0342,0.832,0.579,0.0857,0.167,128.378,3
Where Did You Sleep Last Night,69,306066,0.573,0.59,3,-8.43,1,0.0557,0.667,0.000397,0.691,0.364,108.789,3
Drive,75,232453,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
Last Nite,74,193506,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,4
Don't Speak,77,263560,0.52,0.709,5,-7.125,0,0.0352,0.247,1.78E-05,0.18,0.536,76.039,4
Human,75,245373,0.557,0.8,10,-8.477,1,0.0601,0.00132,0.0012,0.0906,0.582,135.47,4
Somebody Told Me,78,197200,0.497,0.97,10,-4.851,0,0.0836,9.04E-05,0.000674,0.101,0.689,138.081,4
All Apologies,72,233173,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,4
The Drummer,68,202888,0.536,0.894,9,-5.687,1,0.0479,0.00596,0.0168,0.118,0.784,174.899,4
Not Gonna Die,66,225280,0.445,0.953,5,-2.463,0,0.0704,0.0106,0,0.281,0.475,172.063,4
My Sacrifice,71,294600,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31E-06,0.076,0.257,146.349,4
Animal I Have Become,74,231400,0.553,0.853,8,-3.668,1,0.0339,0.000684,0,0.126,0.506,122.023,4
Ode To The Mets,67,351786,0.426,0.617,1,-5.423,0,0.0289,0.341,0.181,0.101,0.201,92.002,4
All the Pretty Girls,70,269893,0.466,0.496,1,-6.606,1,0.0302,0.626,6.22E-06,0.117,0.352,74.747,4
Tippa My Tongue,66,260808,0.573,0.913,5,-6.52,0,0.0409,0.00861,0.0273,0.114,0.795,88.418,4
Paranoid Android,70,387213,0.251,0.848,5,-6.501,1,0.0579,0.0377,0.00591,0.0545,0.207,163.709,4
Learn to Fly,77,235293,0.465,0.919,4,-4.025,1,0.0408,1.83E-05,2.07E-05,0.262,0.537,135.997,4
Prey,67,282640,0.517,0.779,9,-5.005,0,0.0477,0.0258,0,0.0622,0.197,115.206,4
Change (In the House of Flies),77,299533,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,4
Like a Stone,78,293960,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,4
How to Disappear Completely,67,356333,0.167,0.302,6,-11.644,0,0.0345,0.316,0.797,0.11,0.19,102.026,4
Best of You,76,255626,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42E-05,0.188,0.369,130.198,4
Rescue,69,215613,0.293,0.237,6,-8.17,1,0.0284,0.78,0,0.11,0.108,92.935,4
Fake as Fu@k,66,262373,0.599,0.777,8,-6.037,0,0.0922,0.0355,0.00301,0.0936,0.401,132.252,4
Could Have Been Me,71,187653,0.541,0.907,4,-4.512,1,0.0642,0.0158,0.000185,0.34,0.434,80.029,4
Eddie,66,341986,0.515,0.809,9,-5.817,0,0.0512,0.00455,0.0723,0.0905,0.525,142.011,4
Bella,66,291346,0.492,0.815,7,-5.499,0,0.0487,0.00643,2.00E-05,0.0875,0.812,171.379,4
Walk,74,315120,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,4
Howlin' for You,66,191956,0.725,0.747,11,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921,4
Reach Out,66,251588,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,4
