artist_name,album_name,song_name,song_genre
Matt Redman,"10,000 Reasons (Live)","10,000 Reasons (Bless The Lord) - Live",alternative
The Score,Carry On,Stronger,alternative
Grouplove,Never Trust a Happy Song,Tongue Tied,alternative
Avenged Sevenfold,Nightmare,So Far Away,alternative
Linkin Park,LIVING THINGS,LOST IN THE ECHO,alternative
Nirvana,MTV Unplugged In New York,The Man Who Sold The World,alternative
GAYLE;blackbear,fmk (with blackbear),fmk (with blackbear),alternative
R.E.M.,Out Of Time (25th Anniversary Edition),Losing My Religion,alternative
The Neighbourhood,Wiped Out!,Cry Baby,alternative
Young the Giant,Mirrorball / Mind Over Matter (Reprise),Mind Over Matter (Reprise),alternative
The Neighbourhood,Chip Chrome & The Mono-Tones,Pretty Boy,alternative
Linkin Park,Transformers: Revenge Of The Fallen The Album,New Divide,alternative
System Of A Down,Toxicity,Toxicity,alternative
Welshly Arms,No Place Is Home,Legendary,alternative
Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Under the Bridge,alternative
Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,alternative
Genevieve Stokes,Habits,Habits,alternative
The 1975,Being Funny In A Foreign Language,About You,alternative
Mazzy Star,So Tonight That I Might See,Fade Into You,alternative
Ruel,Free Time,Painkiller,alternative
Gorillaz,Plastic Beach,On Melancholy Hill,alternative
Papa Roach,Infest,Last Resort,alternative
Adam Jensen,The Mystic,The Mystic,alternative
Slipknot,Vol. 3: The Subliminal Verses,Duality,alternative
Cookiee Kawaii;Dear Silas,Vanice,Violin,alternative
MARINA,Electra Heart (Deluxe),Primadonna,alternative
Smash Mouth,Astro Lounge,All Star,alternative
Lauren Daigle,Look Up Child,You Say,alternative
The 1975,A Brief Inquiry Into Online Relationships,It's Not Living (If It's Not With You),alternative
Avenged Sevenfold,Hail to the King,Hail to the King,alternative
Gatlin,What If I Love You,What If I Love You,alternative
Pixies,Death to the Pixies,Where Is My Mind?,alternative
The 1975,Being Funny In A Foreign Language,The 1975,alternative
The 1975,Being Funny In A Foreign Language,Looking For Somebody (To Love),alternative
Pixies,Surfer Rosa,Where Is My Mind? - Remastered,alternative
Foo Fighters,The Colour And The Shape,Everlong,alternative
The Verve,Urban Hymns (Remastered 2016),Bitter Sweet Symphony,alternative
The Neighbourhood,#000000 & #FFFFFF,Unfair,alternative
X Ambassadors,VHS,Unsteady,alternative
Lifehouse,Lifehouse,You And Me,alternative
The 1975,Being Funny In A Foreign Language,Happiness,alternative
lovelytheband,sail away,sail away,alternative
The 1975,Being Funny In A Foreign Language,I'm In Love With You,alternative
The 1975,Being Funny In A Foreign Language,When We Are Together,alternative
Franz Ferdinand,This fffire,This fffire - New Version,alternative
Sevyn Streeter,Drunken Wordz Sober Thoughtz,End Up,alternative
Nickelback,All the Right Reasons,Far Away,alternative
Nirvana,In Utero - 20th Anniversary Remaster,Dumb,alternative
Skillet,Unleashed,The Resistance,alternative
Leeland,Better Word (Live),Way Maker - Live,alternative
Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing In The Name,alternative
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Void,alternative
Ruel,GROWING UP IS _____,GROWING UP IS _____,alternative
Linkin Park,Meteora (Bonus Edition),From the Inside,alternative
Nickelback,Silver Side Up,How You Remind Me,alternative
Casting Crowns;Matthew West,Only Jesus,Nobody (feat. Matthew West),alternative
Avenged Sevenfold,Avenged Sevenfold,Afterlife,alternative
The 1975,Being Funny In A Foreign Language,Part Of The Band,alternative
Linkin Park,Hybrid Theory (Bonus Edition),A Place for My Head,alternative
Barns Courtney,The Attractions Of Youth,Glitter & Gold,alternative
Arrested Youth,Sobville (Episode I),The Kid I Used to Know,alternative
The 1975,Being Funny In A Foreign Language,Wintering,alternative
The Neighbourhood,Fallen Star,Fallen Star,alternative
Empire of the Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,alternative
lovelytheband,finding it hard to smile,broken,alternative
The Neighbourhood,I'm Sorry...,Wires,alternative
Bryce Fox,Heaven on Hold,Horns,alternative
Declan McKenna,What Do You Think About the Car?,Brazil,alternative
Florence + The Machine,Ceremonials (Original Deluxe Version),Never Let Me Go,alternative
The Strokes,Comedown Machine,"Call It Fate, Call It Karma",alternative
Red Hot Chili Peppers,Californication (Deluxe Edition),Otherside,alternative
Red Hot Chili Peppers,Californication (Deluxe Edition),Scar Tissue,alternative
Avenged Sevenfold,Nightmare,Nightmare,alternative
System Of A Down,Hypnotize,Lonely Day,alternative
Red Hot Chili Peppers,The Getaway,Dark Necessities,alternative
System Of A Down,Toxicity,Aerials,alternative
Skillet,Awake,Awake and Alive,alternative
Radiohead,OK Computer,Karma Police,alternative
Slipknot,All Hope Is Gone (10th Anniversary),Psychosocial,alternative
Nirvana,Nevermind (Remastered),Lithium,alternative
Sevyn Streeter;Chris Brown,"Call Me Crazy, But...",It Won't Stop (feat. Chris Brown) - EP Version,alternative
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Compass,alternative
MGMT,Oracular Spectacular,Kids,alternative
The Neighbourhood,Chip Chrome & The Mono-Tones,Devil's Advocate,alternative
Teyana Taylor,The Album,Bare Wit Me,alternative
Jet,Get Born,Are You Gonna Be My Girl,alternative
Dominic Fike,What Could Possibly Go Wrong,Why,alternative
Limp Bizkit,Results May Vary,Behind Blue Eyes,alternative
Radiohead,The Bends,High and Dry,alternative
Linkin Park,Hybrid Theory (Bonus Edition),Points of Authority,alternative
WALK THE MOON,What If Nothing,Lost In The Wild,alternative
The Neighbourhood,I Love You.,Flawless,alternative
Thousand Foot Krutch,The End Is Where We Begin,War of Change,alternative
MARINA,The Family Jewels,Are You Satisfied?,alternative
Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,Take A Look Around,alternative
Chris Tomlin,The Ultimate Playlist,Good Good Father,alternative
Foo Fighters,"Echoes, Silence, Patience & Grace",The Pretender,alternative
Octavian;Skepta,Papi Chulo,Papi Chulo,alternative
The 1975,Happiness,Happiness,alternative
Linkin Park,Meteora (Bonus Edition),Lying from You,alternative
